wave,enemy_name,update_time,max_num,max_update_num
1,ghost_0,2,10,5
2,ghost_0,3,15,4
2,feng_you_jing,2,10,4
3,ghost_0,3,15,5
3,ghost_1,2,12,6
4,ghost_0,2,15,5
4,feng_you_jing_pro,3,8,4
4,feng_you_jing,2,10,5
5,ghost_1,2,15,6
5,feng_you_jing_pro,2,10,4
5,feng_you_jing,3,12,6
6,ballon,3,9,4
6,ghost_0,2,20,10
7,mosquito_incense,3,8,4
7,ghost_1,2,12,6
7,ghost_0,2,20,10
8,feng_you_jing,2,15,8
8,feng_you_jing_pro,2,12,6
8,ballon,2,10,6
8,mosquito_incense,2,10,5
9,ghost_0,2,30,13
9,ghost_1,2,20,10
9,ballon,2,12,6
10,ghost_3,3,10,4
10,ballon,2,16,8
11,ghost_0,1,20,10
11,ghost_1,2,16,8
11,feng_you_jing,2,14,7
12,feng_you_jing,2,20,10
12,feng_you_jing_pro,2,14,7
12,ballon,2,13,9
13,feng_you_jing,2,23,12
13,ghost_0,2,33,9
13,feng_you_jing_pro,2,28,11
14,ballon,3,25,10
14,ghost_3,3,26,8
14,feng_you_jing_pro,3,33,11
15,ghost_3,2,34,13
15,ghost_0,3,35,10
15,feng_you_jing,2,33,13
15,mosquito_incense,3,33,9
16,feng_you_jing,2,30,11
16,ghost_0,3,31,10
17,feng_you_jing,2,29,11
17,ghost_0,2,30,13
18,ghost_3,2,31,12
18,feng_you_jing_pro,3,35,11
19,mosquito_incense,2,36,12
19,ghost_0,3,34,13
19,feng_you_jing,3,38,13
19,ghost_3,2,37,14
20,ghost_0,3,32,13
20,feng_you_jing,2,39,10
20,ballon,2,34,13
21,ghost_0,2,35,13
21,mosquito_incense,3,39,14
21,ghost_1,2,37,14
21,ghost_3,2,34,12
22,feng_you_jing,3,42,13
22,mosquito_incense,1,39,11
22,ghost_3,2,32,15
23,feng_you_jing,2,43,12
23,ghost_1,2,40,12
23,ghost_0,1,38,14
24,ballon,2,44,14
24,mosquito_incense,3,35,16
24,feng_you_jing_pro,3,42,16
25,ghost_1,3,43,15
25,feng_you_jing_pro,2,41,12
26,ghost_1,2,36,12
26,feng_you_jing_pro,3,39,15
27,ghost_3,2,45,13
27,ghost_1,2,42,14
27,ghost_0,2,38,13
27,feng_you_jing,2,40,17
28,ballon,3,40,13
28,feng_you_jing_pro,3,43,15
28,mosquito_incense,2,46,13
29,ballon,3,40,13
29,ghost_3,1,40,15
29,ghost_0,2,40,16
30,ghost_0,2,49,17
30,feng_you_jing_pro,2,45,17
30,mosquito_incense,2,47,18
